word,Freq
쇼박스,144
빙그레,185
소망화장품,61
옥시,106
P&G,230
경기도,116
올림푸스,67
캐논코리아컨슈머이미징,74
CJ푸드빌,65
기업은행,70
오리온,201
롯데칠성음료,375
까르푸,55
공익광고협의회,75
동아오츠카,146
KFC,72
라이나생명보험,91
NEW,170
동원F&B,127
네네치킨,62
MBC,651
기아자동차,182
문화체육관광부,93
서울우유,153
워너브러더스코리아,138
유니세프,55
비씨카드,95
귀뚜라미보일러,56
이베이코리아,335
한국네슬레,113
국민체육진흥공단,53
화승,73
르노삼성자동차,82
롯데제과,605
NH농협,73
해태음료,166
디아지오코리아,63
소니,81
넷마블,79
아모레퍼시픽,478
팔도,118
현대자동차그룹,55
남양유업,244
동국제약,160
에뛰드,162
명인제약,79
CJ,100
롯데리아,131
한국지엠,68
삼성물산,79
애경,84
월트디즈니컴패니코리아,64
한국매니지먼트연합,65
유니레버,55
롯데백화점,98
CJE&M,327
밀레,98
네이버,57
알바천국,63
코카콜라,319
에버랜드,55
보건복지부,212
sk텔레콤,132
세정,94
삼성전자,1126
피자헛,140
한국야쿠르트,212
에쓰오일,130
이십세기폭스코리아,82
LG생활건강,517
오비맥주,200
코리아델로스KD,80
SK텔링크,104
스쿨룩스,74
하이트맥주,124
한돈자조금관리위원회,77
GNSBHC,66
아디다스,119
유니버설픽쳐스인터내셔널코리아,76
대한항공,60
삼성화재,189
굿다운로더캠페인본부,124
교통안전공단,476
CJ제일제당,347
현대약품,60
KB국민카드,63
평안엘앤씨,63
LG유플러스,376
니콘이미징코리아,62
고용노동부,57
롯데카드,66
배스킨라빈스,174
KBS,1002
아웃백스테이크하우스,76
한국펩시콜라,57
네이처리퍼블릭,75
신세계,89
KT,869
ABC마트,100
도미노피자,124
고려은단,65
아이더,54
20세기폭스코리아,141
일동제약,104
미디어플렉스,81
대상,136
롯데월드,59
웅진코웨이,130
콜핑,51
한국연예제작자협회,90
SK-II,126
하이트진로,196
뱅뱅,92
페리카나,72
삼성증권,80
SBS,999
제너시스,137
KTF,316
이니스프리,133
위니아만도,66
KB금융그룹,52
OK저축은행,90
롯데주류BG,115
넥슨,205
AIG손해보험,50
웅진식품,81
불스원,88
바디프랜드,68
현대증권,67
CJ엔터테인먼트,459
충무아트홀,53
굽네치킨,59
팬택,61
LG텔레콤,265
태평양,134
토니모리,112
신스타임즈,74
삼성카드,233
이베이코리아옥션,134
국립오페라단,79
SK플래닛,155
한국인삼공사,102
중앙선거관리위원회,91
스킨푸드,70
인천광역시,151
삼성생명,194
현대자동차,287
우유자조금관리위원회,80
롯데엔터테인먼트,315
LS네트웍스,54
해태제과,149
대명레저산업,55
AIG생명보험,62
삼양식품,52
교촌치킨,64
농심,477
하이마트,398
알지피코리아,60
동아제약,215
지엠대우,87
네파,123
켈로그,57
에프알엘코리아,82
KDB대우증권,77
리복,62
LG패션,71
광동제약,210
한국닌텐도,87
미스터피자,84
아메리카인터내셔날어슈어런스캄파니,155
SK텔레콤,1283
컴투스,51
오뚜기,222
더샘인터내셔날,121
신한은행,62
나이키,114
유한킴벌리,134
현대해상,86
아쿠쉬네트,164
동서식품,490
크라운제과,57
한국존슨앤드존슨,167
제일모직,187
더페이스샵,90
NHN,106
LG전자,1052
외교부,52
맥도날드,115
에이스침대,81
King,73
현대카드,170
다음커뮤니케이션즈,118
대전광역시,52
블랙야크,98
시네마서비스,114
매일유업,194
코오롱스포츠,104
SK,69
K2코리아,95
